votes,match_home_team,match_away_team,match_round,season,player_id
3,Richmond,Carlton,1,2020,11921
2,Richmond,Carlton,1,2020,11801
1,Richmond,Carlton,1,2020,12243
3,Western Bulldogs,Collingwood,1,2020,12223
2,Western Bulldogs,Collingwood,1,2020,12648
1,Western Bulldogs,Collingwood,1,2020,11759
3,Essendon,Fremantle,1,2020,12032
2,Essendon,Fremantle,1,2020,12330
1,Essendon,Fremantle,1,2020,12289
3,Gold Coast,Port Adelaide,1,2020,11591
2,Gold Coast,Port Adelaide,1,2020,12429
1,Gold Coast,Port Adelaide,1,2020,11792
3,North Melbourne,St Kilda,1,2020,11843
2,North Melbourne,St Kilda,1,2020,12511
3,Hawthorn,Brisbane Lions,1,2020,12053
2,Hawthorn,Brisbane Lions,1,2020,11192
1,Hawthorn,Brisbane Lions,1,2020,11766
3,West Coast,Melbourne,1,2020,12260
2,West Coast,Melbourne,1,2020,11909
1,West Coast,Melbourne,1,2020,12152
3,Collingwood,Richmond,2,2020,11506
2,Collingwood,Richmond,2,2020,12460
1,Collingwood,Richmond,2,2020,11759
3,Geelong,Hawthorn,2,2020,11552
2,Geelong,Hawthorn,2,2020,12513
1,Geelong,Hawthorn,2,2020,12690
3,Brisbane Lions,Fremantle,2,2020,12061
2,Brisbane Lions,Fremantle,2,2020,11844
1,Brisbane Lions,Fremantle,2,2020,11770
3,Carlton,Melbourne,2,2020,12437
2,Carlton,Melbourne,2,2020,11972
1,Carlton,Melbourne,2,2020,12175
3,Port Adelaide,Adelaide,2,2020,11825
2,Port Adelaide,Adelaide,2,2020,11591
1,Port Adelaide,Adelaide,2,2020,11792
3,Gold Coast,West Coast,2,2020,12769
2,Gold Coast,West Coast,2,2020,11952
1,Gold Coast,West Coast,2,2020,11813
3,Greater Western Sydney,North Melbourne,2,2020,11692
2,Greater Western Sydney,North Melbourne,2,2020,11502
1,Greater Western Sydney,North Melbourne,2,2020,12023
3,Sydney,Essendon,2,2020,12249
2,Sydney,Essendon,2,2020,11958
1,Sydney,Essendon,2,2020,12419
3,St Kilda,Western Bulldogs,2,2020,12294
2,St Kilda,Western Bulldogs,2,2020,12255
1,St Kilda,Western Bulldogs,2,2020,12421
3,Richmond,Hawthorn,3,2020,11948
2,Richmond,Hawthorn,3,2020,12216
1,Richmond,Hawthorn,3,2020,12149
3,Western Bulldogs,Greater Western Sydney,3,2020,12172
2,Western Bulldogs,Greater Western Sydney,3,2020,12541
1,Western Bulldogs,Greater Western Sydney,3,2020,12382
3,North Melbourne,Sydney,3,2020,12511
2,North Melbourne,Sydney,3,2020,12331
1,North Melbourne,Sydney,3,2020,12501
3,Collingwood,St Kilda,3,2020,11759
2,Collingwood,St Kilda,3,2020,11506
1,Collingwood,St Kilda,3,2020,12223
3,Geelong,Carlton,3,2020,12269
2,Geelong,Carlton,3,2020,11804
1,Geelong,Carlton,3,2020,11383
3,Brisbane Lions,West Coast,3,2020,12061
2,Brisbane Lions,West Coast,3,2020,12526
1,Brisbane Lions,West Coast,3,2020,11909
3,Gold Coast,Adelaide,3,2020,12769
2,Gold Coast,Adelaide,3,2020,12329
1,Gold Coast,Adelaide,3,2020,12728
3,Fremantle,Port Adelaide,3,2020,11591
2,Fremantle,Port Adelaide,3,2020,12155
1,Fremantle,Port Adelaide,3,2020,11844
3,Sydney,Western Bulldogs,4,2020,12277
2,Sydney,Western Bulldogs,4,2020,12419
