season,match_round,match_home_team,match_away_team,player_id,player_name,player_team,game_outcome,total,aflvotes
2017,1,Carlton,Richmond,11285,Kade Simpson,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11472,Marc Murphy,Carlton,Loss,3,L3
2017,1,Carlton,Richmond,11473,Dale Thomas,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11553,Bryce Gibbs,Carlton,Loss,1,L1
2017,1,Carlton,Richmond,11561,Shane Edwards,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11573,Bachar Houli,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11582,Jack Riewoldt,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11601,Shaun Grigg,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11651,Matthew Kreuzer,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11671,Trent Cotchin,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11679,Dennis Armfield,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11737,Alex Rance,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11801,Dustin Martin,Richmond,Win,3,W3
2017,1,Carlton,Richmond,11834,Simon White,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11835,David Astbury,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11857,Ben Griffiths,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11858,Taylor Hunt,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11887,Dylan Grimes,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11889,Ed Curnow,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,11892,Reece Conca,Richmond,Win,0,W0
2017,1,Carlton,Richmond,11921,Dion Prestia,Richmond,Win,2,W2
2017,1,Carlton,Richmond,11936,Matthew Wright,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12016,Josh Caddy,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12039,Brandon Ellis,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12048,Billie Smedts,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12121,Levi Casboult,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12146,Lachie Plowman,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12163,Sam Rowe,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12175,Sam Docherty,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12180,Nick Vlastuin,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12268,Sam Lloyd,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12269,Patrick Cripps,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12324,Kamdyn McIntosh,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12376,Caleb Marchbank,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12379,Toby Nankervis,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12409,Daniel Rioli,Richmond,Win,0,W0
2017,1,Carlton,Richmond,12410,Jacob Weitering,Carlton,Loss,2,L2
2017,1,Carlton,Richmond,12428,Charlie Curnow,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12440,Jason Castagna,Richmond,Win,1,W1
2017,1,Carlton,Richmond,12466,Jack Silvagni,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12495,Harrison Macreadie,Carlton,Loss,0,L0
2017,1,Carlton,Richmond,12496,Sam Petrevski-Seton,Carlton,Loss,0,L0
