player_team,player_name,af_new,sc_new,match_round,season
Richmond,Dion Prestia,89,118,1,2020
Richmond,Dustin Martin,90,126,1,2020
Richmond,Trent Cotchin,63,94,1,2020
Richmond,Liam Baker,46,91,1,2020
Richmond,Shane Edwards,52,86,1,2020
Richmond,Josh Caddy,67,84,1,2020
Richmond,Jayden Short,66,86,1,2020
Richmond,David Astbury,49,90,1,2020
Richmond,Kane Lambert,59,90,1,2020
Richmond,Marlion Pickett,60,94,1,2020
Richmond,Shai Bolton,83,102,1,2020
Richmond,Daniel Rioli,69,99,1,2020
Richmond,Ivan Soldo,71,100,1,2020
Richmond,Sydney Stack,26,55,1,2020
Richmond,Nathan Broad,36,53,1,2020
Richmond,Jason Castagna,54,79,1,2020
Richmond,Jack Graham,23,40,1,2020
Richmond,Dylan Grimes,36,50,1,2020
Richmond,Nick Vlastuin,38,78,1,2020
Richmond,Toby Nankervis,30,27,1,2020
Richmond,Jack Riewoldt,50,74,1,2020
Carlton,Patrick Cripps,92,112,1,2020
Carlton,Marc Murphy,78,101,1,2020
Carlton,Sam Docherty,95,117,1,2020
Carlton,Kade Simpson,72,82,1,2020
Carlton,Sam Walsh,65,55,1,2020
Carlton,Jack Martin,86,107,1,2020
Carlton,Zac Fisher,54,80,1,2020
Carlton,Levi Casboult,82,104,1,2020
Carlton,Nic Newman,49,39,1,2020
Carlton,Jack Newnes,46,67,1,2020
Carlton,Jacob Weitering,49,102,1,2020
Carlton,Liam Jones,37,64,1,2020
Carlton,David Cuningham,50,57,1,2020
Carlton,Mitch McGovern,45,69,1,2020
Carlton,Paddy Dow,38,27,1,2020
Carlton,Michael Gibbons,20,27,1,2020
Carlton,Jack Silvagni,34,56,1,2020
Carlton,Will Setterfield,24,24,1,2020
Carlton,Matthew Kreuzer,16,33,1,2020
Western Bulldogs,Bailey Smith,95,106,1,2020
Western Bulldogs,Caleb Daniel,63,92,1,2020
Western Bulldogs,Josh Dunkley,59,67,1,2020
Western Bulldogs,Hayden Crozier,79,115,1,2020
Western Bulldogs,Bailey Williams,67,77,1,2020
Western Bulldogs,Jason Johannisen,55,61,1,2020
Western Bulldogs,Alex Keath,71,79,1,2020
Western Bulldogs,Marcus Bontempelli,51,76,1,2020
Western Bulldogs,Easton Wood,47,60,1,2020
Western Bulldogs,Matthew Suckling,55,67,1,2020
Western Bulldogs,Ryan Gardner,49,44,1,2020
Western Bulldogs,Zaine Cordy,33,68,1,2020
Western Bulldogs,Sam Lloyd,57,48,1,2020
Western Bulldogs,Josh Bruce,33,40,1,2020
Western Bulldogs,Bailey Dale,13,16,1,2020
Western Bulldogs,Lewis Young,14,0,1,2020
Western Bulldogs,Ben Cavarra,23,32,1,2020
Western Bulldogs,Aaron Naughton,6,18,1,2020
Collingwood,Steele Sidebottom,107,125,1,2020
Collingwood,Taylor Adams,105,112,1,2020
Collingwood,Scott Pendlebury,90,109,1,2020
Collingwood,Jeremy Howe,110,156,1,2020
Collingwood,Brodie Grundy,114,179,1,2020
Collingwood,Brayden Maynard,76,104,1,2020
Collingwood,John Noble,67,74,1,2020
Collingwood,Jack Crisp,59,62,1,2020
Collingwood,Tyler Brown,46,64,1,2020
Collingwood,Jordan De Goey,61,66,1,2020
Collingwood,Josh Daicos,70,61,1,2020
Collingwood,Jamie Elliott,55,70,1,2020
Collingwood,Tom Phillips,37,64,1,2020
Collingwood,Josh Thomas,42,64,1,2020
Collingwood,Darcy Moore,44,55,1,2020
Collingwood,Brody Mihocek,82,127,1,2020
Collingwood,Mason Cox,56,82,1,2020
Collingwood,Jordan Roughead,23,37,1,2020
Collingwood,Jack Madgen,23,22,1,2020
Essendon,Dylan Shiel,122,163,1,2020
Essendon,Adam Saad,100,110,1,2020
Essendon,Andrew McGrath,92,113,1,2020
Essendon,Kyle Langford,82,88,1,2020
Essendon,Michael Hurley,79,63,1,2020
Essendon,David Zaharakis,62,47,1,2020
Essendon,Tom Cutler,59,92,1,2020
Essendon,Mason Redman,82,79,1,2020
Essendon,Will Snelling,72,82,1,2020
Essendon,Jordan Ridley,80,100,1,2020
Essendon,Matt Guelfi,59,79,1,2020
Essendon,Devon Smith,70,105,1,2020
Essendon,Darcy Parish,37,53,1,2020
Essendon,Aaron Francis,45,49,1,2020
Essendon,Jacob Townsend,60,99,1,2020
Essendon,Jake Stringer,73,74,1,2020
Essendon,Tom Bellchambers,64,101,1,2020
Essendon,Orazio Fantasia,38,47,1,2020
Essendon,Jayden Laverde,31,38,1,2020
Fremantle,Darcy Tucker,82,76,1,2020
Fremantle,Michael Walters,80,110,1,2020
Fremantle,Brett Bewley,89,95,1,2020
Fremantle,Reece Conca,68,88,1,2020
Fremantle,Rory Lobb,92,133,1,2020
Fremantle,Adam Cerra,43,54,1,2020
Fremantle,Andrew Brayshaw,44,66,1,2020
Fremantle,Travis Colyer,60,58,1,2020
Fremantle,James Aish,43,62,1,2020
Fremantle,Bailey Banfield,46,50,1,2020
Fremantle,Luke Ryan,28,52,1,2020
Fremantle,Brennan Cox,31,54,1,2020
Fremantle,Taylin Duman,54,70,1,2020
Fremantle,Sam Sturt,61,100,1,2020
Fremantle,Ethan Hughes,28,52,1,2020
Fremantle,Griffin Logue,17,31,1,2020
Fremantle,Sean Darcy,34,54,1,2020
Adelaide,Brad Crouch,58,92,1,2020
Adelaide,Rory Laird,70,88,1,2020
Adelaide,Rory Sloane,78,123,1,2020
Adelaide,Matt Crouch,54,68,1,2020
Adelaide,Wayne Milera,63,96,1,2020
Adelaide,Tom Lynch,67,113,1,2020
Adelaide,Paul Seedsman,57,58,1,2020
Adelaide,Rory Atkins,63,87,1,2020
Adelaide,Daniel Talia,41,79,1,2020
Adelaide,Luke Brown,41,60,1,2020
Adelaide,Reilly O'Brien,63,107,1,2020
Adelaide,Tyson Stengle,39,56,1,2020
Adelaide,Lachlan Murphy,64,85,1,2020
Adelaide,Billy Frampton,41,45,1,2020
Adelaide,Jake Kelly,32,51,1,2020
Adelaide,Darcy Fogarty,33,59,1,2020
Adelaide,Bryce Gibbs,14,16,1,2020
Adelaide,Taylor Walker,42,55,1,2020
Adelaide,Brodie Smith,35,55,1,2020
Adelaide,Chayce Jones,37,50,1,2020
Adelaide,Ben Davis,37,51,1,2020
Adelaide,Fischer McAsey,16,16,1,2020
Sydney,Luke Parker,113,125,1,2020
Sydney,Josh P. Kennedy,98,129,1,2020
Sydney,Oliver Florent,72,99,1,2020
Sydney,Callum Mills,72,85,1,2020
Sydney,Jordan Dawson,62,84,1,2020
Sydney,Jake Lloyd,55,77,1,2020
Sydney,Sam Gray,70,73,1,2020
Sydney,Isaac Heeney,101,152,1,2020
Sydney,Colin O'Riordan,49,54,1,2020
Sydney,Tom Papley,79,85,1,2020
Sydney,Justin McInerney,48,81,1,2020
Sydney,Harry Cunningham,48,56,1,2020
Sydney,Kaiden Brand,49,67,1,2020
Sydney,Sam Naismith,78,121,1,2020
Sydney,Aliir Aliir,43,71,1,2020
Sydney,Tom McCartin,53,85,1,2020
Sydney,James Rowbottom,45,46,1,2020
Sydney,Dane Rampe,50,86,1,2020
Sydney,Lewis Taylor,57,48,1,2020
Sydney,Ben Ronke,43,63,1,2020
Sydney,Nick Blakey,39,60,1,2020
Sydney,Will Hayward,29,43,1,2020
Greater Western Sydney,Jacob Hopper,89,112,1,2020
Greater Western Sydney,Lachie Whitfield,68,109,1,2020
Greater Western Sydney,Nick Haynes,85,114,1,2020
Greater Western Sydney,Harry Perryman,86,132,1,2020
Greater Western Sydney,Stephen Coniglio,74,114,1,2020
Greater Western Sydney,Toby Greene,81,108,1,2020
Greater Western Sydney,Daniel Lloyd,71,101,1,2020
Greater Western Sydney,Heath Shaw,62,62,1,2020
Greater Western Sydney,Sam Jacobs,80,134,1,2020
Greater Western Sydney,Zac Langdon,48,74,1,2020
Greater Western Sydney,Aidan Corr,37,60,1,2020
Greater Western Sydney,Brent Daniels,35,73,1,2020
Greater Western Sydney,Isaac Cumming,36,57,1,2020
Greater Western Sydney,Jeremy Cameron,50,70,1,2020
Greater Western Sydney,Jeremy Finlayson,40,62,1,2020
Greater Western Sydney,Phil Davis,24,22,1,2020
Greater Western Sydney,Tom Green,27,41,1,2020
Greater Western Sydney,Sam Taylor,12,39,1,2020
Greater Western Sydney,Adam Kennedy,3,6,1,2020
Geelong,Gary Ablett,89,93,1,2020
Geelong,Joel Selwood,62,68,1,2020
Geelong,Patrick Dangerfield,40,83,1,2020
Geelong,Zach Tuohy,62,64,1,2020
Geelong,Luke Dahlhaus,63,98,1,2020
Geelong,Jordan Clark,51,41,1,2020
Geelong,Harry Taylor,52,85,1,2020
Geelong,Sam Menegola,46,35,1,2020
Geelong,Mark O'Connor,58,91,1,2020
Geelong,Quinton Narkle,44,82,1,2020
Geelong,Tom Hawkins,76,103,1,2020
Geelong,Cameron Guthrie,50,58,1,2020
Geelong,Jack Henry,49,62,1,2020
Geelong,Mark Blicavs,38,86,1,2020
Geelong,Gary Rohan,43,57,1,2020
Geelong,Gryan Miers,44,64,1,2020
Geelong,Darcy Fort,44,94,1,2020
Geelong,Zach Guthrie,25,21,1,2020
Geelong,Tom Atkins,24,26,1,2020
Geelong,Esava Ratugolea,23,46,1,2020
Gold Coast,Touk Miller,84,111,1,2020
Gold Coast,Brandon Ellis,69,79,1,2020
Gold Coast,Brayden Fiorini,80,71,1,2020
Gold Coast,Matt Rowell,64,80,1,2020
Gold Coast,Hugh Greenwood,57,116,1,2020
Gold Coast,Jack Bowes,62,93,1,2020
Gold Coast,David Swallow,73,92,1,2020
Gold Coast,Ben Ainsworth,74,93,1,2020
Gold Coast,Jesse Joyce,50,64,1,2020
Gold Coast,Will Brodie,45,36,1,2020
Gold Coast,Jack Lukosius,55,57,1,2020
Gold Coast,Noah Anderson,33,42,1,2020
Gold Coast,Sean Lemmens,45,47,1,2020
Gold Coast,Connor Budarick,32,44,1,2020
Gold Coast,Sam Day,30,32,1,2020
Gold Coast,Ben King,35,59,1,2020
Gold Coast,Jarrod Witts,33,50,1,2020
Gold Coast,Caleb Graham,12,31,1,2020
Port Adelaide,Tom Rockliff,91,115,1,2020
Port Adelaide,Travis Boak,84,125,1,2020
Port Adelaide,Karl Amon,82,92,1,2020
Port Adelaide,Connor Rozee,85,125,1,2020
Port Adelaide,Brad Ebert,101,104,1,2020
Port Adelaide,Dan Houston,79,79,1,2020
Port Adelaide,Robbie Gray,76,104,1,2020
Port Adelaide,Ryan Burton,79,101,1,2020
Port Adelaide,Xavier Duursma,63,79,1,2020
Port Adelaide,Trent McKenzie,61,79,1,2020
Port Adelaide,Steven Motlop,64,93,1,2020
Port Adelaide,Tom Clurey,52,61,1,2020
Port Adelaide,Justin Westhoff,69,57,1,2020
Port Adelaide,Zak Butters,45,42,1,2020
Port Adelaide,Jarrod Lienert,43,38,1,2020
Port Adelaide,Mitch Georgiades,60,78,1,2020
Port Adelaide,Hamish Hartlett,50,68,1,2020
Port Adelaide,Scott Lycett,55,70,1,2020
Port Adelaide,Todd Marshall,63,80,1,2020
North Melbourne,Ben Cunnington,117,185,1,2020
North Melbourne,Jared Polec,86,98,1,2020
North Melbourne,Jy Simpkin,89,131,1,2020
North Melbourne,Shaun Higgins,73,93,1,2020
North Melbourne,Trent Dumont,62,80,1,2020
North Melbourne,Jed Anderson,49,75,1,2020
North Melbourne,Shaun Atley,48,67,1,2020
North Melbourne,Todd Goldstein,77,136,1,2020
North Melbourne,Robbie Tarrant,40,66,1,2020
North Melbourne,Luke McDonald,39,54,1,2020
North Melbourne,Curtis Taylor,47,79,1,2020
North Melbourne,Jasper Pittard,44,52,1,2020
North Melbourne,Aaron Hall,42,54,1,2020
North Melbourne,Ben Brown,53,81,1,2020
North Melbourne,Tarryn Thomas,55,86,1,2020
North Melbourne,Cameron Zurhaar,44,67,1,2020
North Melbourne,Nick Larkey,33,53,1,2020
North Melbourne,Jack Ziebell,22,19,1,2020
North Melbourne,Paul Ahern,14,19,1,2020
St Kilda,Sebastian Ross,63,84,1,2020
St Kilda,Zak Jones,96,113,1,2020
St Kilda,Jack Steele,82,128,1,2020
St Kilda,Luke Dunstan,100,92,1,2020
St Kilda,Jack Billings,87,120,1,2020
St Kilda,Hunter Clark,52,84,1,2020
St Kilda,Jarryn Geary,49,88,1,2020
St Kilda,Dean Kent,76,71,1,2020
St Kilda,Ben Long,51,118,1,2020
St Kilda,Ben Paton,59,76,1,2020
St Kilda,Bradley Hill,42,58,1,2020
St Kilda,Jade Gresham,33,27,1,2020
St Kilda,Rowan Marshall,65,92,1,2020
St Kilda,Callum Wilkie,39,79,1,2020
St Kilda,Dylan Roberton,20,26,1,2020
St Kilda,Tim Membrey,36,35,1,2020
St Kilda,Jack Lonie,32,38,1,2020
St Kilda,Max King,32,42,1,2020
St Kilda,Dougal Howard,22,70,1,2020
Hawthorn,Tom Mitchell,82,119,1,2020
Hawthorn,Liam Shiels,97,127,1,2020
Hawthorn,Jaeger O'Meara,83,112,1,2020
Hawthorn,Chad Wingard,100,131,1,2020
Hawthorn,Isaac Smith,85,119,1,2020
Hawthorn,James Worpel,81,93,1,2020
Hawthorn,James Sicily,62,70,1,2020
Hawthorn,Jack Gunston,59,73,1,2020
Hawthorn,Tom Scully,58,55,1,2020
Hawthorn,Oliver Hanrahan,64,73,1,2020
Hawthorn,Luke Breust,74,113,1,2020
Hawthorn,Ricky Henderson,59,53,1,2020
Hawthorn,Sam Frost,35,69,1,2020
Hawthorn,Shaun Burgoyne,70,126,1,2020
Hawthorn,Harry Morrison,42,45,1,2020
Hawthorn,Ben McEvoy,45,80,1,2020
Hawthorn,Jonathon Ceglar,55,101,1,2020
Hawthorn,Paul Puopolo,35,44,1,2020
Hawthorn,Tim O'Brien,30,60,1,2020
Hawthorn,Jonathon Patton,33,55,1,2020
Hawthorn,James Frawley,32,40,1,2020
Brisbane Lions,Lachie Neale,108,157,1,2020
Brisbane Lions,Mitch Robinson,93,97,1,2020
Brisbane Lions,Jarryd Lyons,98,115,1,2020
Brisbane Lions,Hugh McCluggage,60,85,1,2020
Brisbane Lions,Daniel Rich,60,87,1,2020
Brisbane Lions,Harris Andrews,62,103,1,2020
Brisbane Lions,Eric Hipwood,80,86,1,2020
Brisbane Lions,Noah Answerth,59,57,1,2020
Brisbane Lions,Dayne Zorko,56,52,1,2020
Brisbane Lions,Jarrod Berry,35,52,1,2020
Brisbane Lions,Alex Witherden,57,41,1,2020
Brisbane Lions,Zac Bailey,51,65,1,2020
Brisbane Lions,Lincoln McCarthy,46,57,1,2020
Brisbane Lions,Stefan Martin,51,58,1,2020
Brisbane Lions,Charlie Cameron,52,75,1,2020
Brisbane Lions,Brandon Starcevich,34,28,1,2020
Brisbane Lions,Daniel McStay,51,75,1,2020
Brisbane Lions,Darcy Gardiner,36,60,1,2020
Brisbane Lions,Deven Robertson,26,47,1,2020
Brisbane Lions,Marcus Adams,12,28,1,2020
Brisbane Lions,Oscar McInerney,30,39,1,2020
West Coast,Andrew Gaff,107,119,1,2020
West Coast,Luke Shuey,116,104,1,2020
West Coast,Shannon Hurn,94,152,1,2020
West Coast,Liam Duggan,83,76,1,2020
West Coast,Tim Kelly,81,86,1,2020
West Coast,Lewis Jetta,92,104,1,2020
West Coast,Tom Barrass,74,92,1,2020
West Coast,Liam Ryan,91,109,1,2020
West Coast,Jarrod Brander,61,59,1,2020
West Coast,Jamie Cripps,58,69,1,2020
West Coast,Jeremy McGovern,52,83,1,2020
West Coast,Elliot Yeo,49,57,1,2020
West Coast,Brendon Ah Chee,59,92,1,2020
West Coast,Jackson Nelson,58,64,1,2020
West Coast,Jack Redden,39,36,1,2020
West Coast,Jack Darling,44,68,1,2020
West Coast,Jack Petruccelle,36,43,1,2020
West Coast,Tom Hickey,11,26,1,2020
Melbourne,Jack Viney,132,186,1,2020
Melbourne,Ed Langdon,102,120,1,2020
Melbourne,Christian Petracca,90,105,1,2020
Melbourne,Michael Hibberd,85,79,1,2020
Melbourne,Clayton Oliver,74,99,1,2020
Melbourne,James Harmes,56,77,1,2020
Melbourne,Angus Brayshaw,63,71,1,2020
Melbourne,Max Gawn,73,93,1,2020
Melbourne,Adam Tomlinson,59,51,1,2020
Melbourne,Oscar McDonald,47,70,1,2020
Melbourne,Jay Lockhart,42,84,1,2020
Melbourne,Kysaiah Pickett,44,57,1,2020
Melbourne,Steven May,41,69,1,2020
Melbourne,Jake Lever,32,53,1,2020
Melbourne,Bayley Fritsch,42,39,1,2020
Melbourne,Jake Melksham,33,54,1,2020
Melbourne,Charlie Spargo,25,9,1,2020
Melbourne,Toby Bedford,26,39,1,2020
Melbourne,Neville Jetta,27,35,1,2020
Melbourne,Tom McDonald,44,40,1,2020
Collingwood,Scott Pendlebury,100,115,2,2020
Collingwood,Steele Sidebottom,83,95,2,2020
Collingwood,Josh Daicos,80,126,2,2020
Collingwood,Brayden Maynard,76,105,2,2020
Collingwood,Taylor Adams,100,131,2,2020
Collingwood,Jeremy Howe,79,126,2,2020
Collingwood,Jack Crisp,82,108,2,2020
Collingwood,Tom Phillips,101,99,2,2020
Collingwood,Jordan De Goey,56,67,2,2020
Collingwood,Brodie Grundy,82,115,2,2020
Collingwood,John Noble,41,41,2,2020
Collingwood,Darcy Cameron,58,73,2,2020
Collingwood,Darcy Moore,28,72,2,2020
Collingwood,Jack Madgen,47,55,2,2020
Collingwood,Brody Mihocek,29,40,2,2020
Collingwood,Tyler Brown,22,43,2,2020
Collingwood,Jordan Roughead,22,35,2,2020
Collingwood,Josh Thomas,21,15,2,2020
Collingwood,Jamie Elliott,27,39,2,2020
Richmond,Bachar Houli,100,111,2,2020
Richmond,Trent Cotchin,86,99,2,2020
Richmond,Dustin Martin,73,79,2,2020
Richmond,Dion Prestia,75,72,2,2020
Richmond,Kane Lambert,57,58,2,2020
Richmond,David Astbury,72,95,2,2020
Richmond,Jayden Short,62,78,2,2020
Richmond,Jack Graham,51,88,2,2020
Richmond,Shane Edwards,51,69,2,2020
Richmond,Nick Vlastuin,60,100,2,2020
Richmond,Jack Higgins,79,65,2,2020
Richmond,Liam Baker,50,65,2,2020
Richmond,Jason Castagna,45,48,2,2020
Richmond,Shai Bolton,73,104,2,2020
Richmond,Dylan Grimes,43,70,2,2020
Richmond,Nathan Broad,40,55,2,2020
Richmond,Marlion Pickett,37,37,2,2020
Richmond,Jack Riewoldt,23,18,2,2020
Richmond,Ivan Soldo,74,108,2,2020
Richmond,Daniel Rioli,28,35,2,2020
Richmond,Sydney Stack,23,38,2,2020
Geelong,Joel Selwood,97,151,2,2020
Geelong,Patrick Dangerfield,94,101,2,2020
Geelong,Sam Menegola,84,119,2,2020
Geelong,Gary Ablett,80,130,2,2020
Geelong,Gryan Miers,104,94,2,2020
Geelong,Brandan Parfitt,94,114,2,2020
Geelong,Zach Tuohy,63,56,2,2020
Geelong,Harry Taylor,64,74,2,2020
Geelong,Cameron Guthrie,58,83,2,2020
Geelong,Luke Dahlhaus,56,87,2,2020
Geelong,Quinton Narkle,78,71,2,2020
Geelong,Rhys Stanley,83,122,2,2020
Geelong,Tom Atkins,47,68,2,2020
Geelong,Mark Blicavs,47,95,2,2020
Geelong,Mark O'Connor,45,70,2,2020
Geelong,Tom Hawkins,43,63,2,2020
Geelong,Esava Ratugolea,37,65,2,2020
Geelong,Jack Henry,23,39,2,2020
Geelong,Jed Bews,35,45,2,2020
Geelong,Gary Rohan,31,31,2,2020
Hawthorn,Tom Mitchell,70,95,2,2020
Hawthorn,Chad Wingard,70,60,2,2020
Hawthorn,Tom Scully,55,51,2,2020
Hawthorn,Isaac Smith,53,88,2,2020
Hawthorn,James Worpel,70,91,2,2020
Hawthorn,Sam Frost,65,87,2,2020
Hawthorn,Harry Morrison,46,63,2,2020
Hawthorn,Oliver Hanrahan,40,48,2,2020
Hawthorn,Jonathon Ceglar,74,71,2,2020
Hawthorn,James Sicily,55,96,2,2020
Hawthorn,James Frawley,45,65,2,2020
Hawthorn,Shaun Burgoyne,46,75,2,2020
Hawthorn,Liam Shiels,37,20,2,2020
Hawthorn,Paul Puopolo,34,54,2,2020
Hawthorn,Blake Hardwick,27,44,2,2020
Hawthorn,Ricky Henderson,24,40,2,2020
Hawthorn,Luke Breust,53,68,2,2020
Hawthorn,Jack Gunston,55,71,2,2020
Hawthorn,Ben McEvoy,39,78,2,2020
Hawthorn,Jonathon Patton,26,31,2,2020
Hawthorn,Tim O'Brien,33,58,2,2020
Brisbane Lions,Lachie Neale,109,171,2,2020
Brisbane Lions,Mitch Robinson,75,106,2,2020
Brisbane Lions,Daniel Rich,69,80,2,2020
Brisbane Lions,Jarryd Lyons,76,92,2,2020
Brisbane Lions,Dayne Zorko,72,107,2,2020
Brisbane Lions,Brandon Starcevich,79,99,2,2020
Brisbane Lions,Darcy Gardiner,55,87,2,2020
Brisbane Lions,Harris Andrews,38,88,2,2020
Brisbane Lions,Callum Ah Chee,69,83,2,2020
Brisbane Lions,Hugh McCluggage,49,66,2,2020
Brisbane Lions,Grant Birchall,36,49,2,2020
Brisbane Lions,Charlie Cameron,92,118,2,2020
Brisbane Lions,Jarrod Berry,62,79,2,2020
Brisbane Lions,Oscar McInerney,85,87,2,2020
Brisbane Lions,Zac Bailey,56,82,2,2020
Brisbane Lions,Ryan Lester,36,60,2,2020
Brisbane Lions,Lincoln McCarthy,40,51,2,2020
Brisbane Lions,Eric Hipwood,38,71,2,2020
Brisbane Lions,Thomas Berry,38,58,2,2020
Brisbane Lions,Stefan Martin,43,38,2,2020
Brisbane Lions,Daniel McStay,18,42,2,2020
Fremantle,Michael Walters,105,148,2,2020
Fremantle,James Aish,87,94,2,2020
Fremantle,Luke Ryan,89,123,2,2020
Fremantle,Andrew Brayshaw,72,88,2,2020
Fremantle,Reece Conca,62,83,2,2020
Fremantle,Darcy Tucker,60,79,2,2020
Fremantle,Brett Bewley,52,52,2,2020
Fremantle,David Mundy,48,73,2,2020
Fremantle,Adam Cerra,51,71,2,2020
Fremantle,Travis Colyer,40,48,2,2020
Fremantle,Rory Lobb,49,57,2,2020
Fremantle,Hayden Young,39,41,2,2020
Fremantle,Griffin Logue,25,41,2,2020
Fremantle,Taylin Duman,41,50,2,2020
Fremantle,Bailey Banfield,43,65,2,2020
Fremantle,Brennan Cox,38,56,2,2020
Fremantle,Ethan Hughes,21,43,2,2020
Fremantle,Brandon Matera,36,44,2,2020
Fremantle,Sean Darcy,26,47,2,2020
Carlton,Marc Murphy,75,107,2,2020
Carlton,Sam Docherty,88,93,2,2020
Carlton,Patrick Cripps,77,117,2,2020
Carlton,Sam Walsh,69,89,2,2020
Carlton,Kade Simpson,51,70,2,2020
Carlton,Michael Gibbons,74,90,2,2020
Carlton,Marc Pittonet,74,134,2,2020
Carlton,Will Setterfield,63,86,2,2020
Carlton,Jacob Weitering,49,73,2,2020
Carlton,Jack Martin,57,71,2,2020
Carlton,David Cuningham,43,77,2,2020
Carlton,Mitch McGovern,60,56,2,2020
Carlton,Eddie Betts,41,47,2,2020
Carlton,Jack Newnes,26,49,2,2020
Carlton,Liam Jones,27,62,2,2020
Carlton,Levi Casboult,46,48,2,2020
Carlton,Harry McKay,27,14,2,2020
Carlton,Darcy Lang,25,47,2,2020
Carlton,Nic Newman,9,8,2,2020
Melbourne,Clayton Oliver,101,127,2,2020
Melbourne,Christian Petracca,108,126,2,2020
Melbourne,Ed Langdon,75,90,2,2020
Melbourne,Max Gawn,123,184,2,2020
Melbourne,Christian Salem,78,94,2,2020
Melbourne,Jack Viney,62,86,2,2020
Melbourne,James Harmes,64,61,2,2020
Melbourne,Adam Tomlinson,65,66,2,2020
Melbourne,Angus Brayshaw,71,83,2,2020
Melbourne,Harley Bennell,47,59,2,2020
Melbourne,Steven May,39,63,2,2020
Melbourne,Trent Rivers,45,62,2,2020
Melbourne,Nathan Jones,39,31,2,2020
Melbourne,Jake Melksham,38,47,2,2020
Melbourne,Neville Jetta,24,60,2,2020
Melbourne,Tom McDonald,40,72,2,2020
Melbourne,Bayley Fritsch,65,76,2,2020
Melbourne,Jayden Hunt,53,85,2,2020
Melbourne,Joel Smith,26,53,2,2020
Melbourne,Luke Jackson,29,30,2,2020
